Price,Close,High,Low,Open,Volume
Ticker,TUPRS.IS,TUPRS.IS,TUPRS.IS,TUPRS.IS,TUPRS.IS
2017-01-02,5.41727876663208,5.455753613395201,5.41727876663208,5.448058952260527,1662696
2017-01-03,5.298006534576416,5.451905918597663,5.298006534576416,5.428821421951735,5910611
2017-01-04,5.348023414611816,5.386498772772011,5.309548570148174,5.32493840519432,6742883
2017-01-05,5.463449001312256,5.467296588877948,5.3480239428244944,5.359566705521573,8458695
2017-01-06,5.498076438903809,5.525009039033575,5.436517090658549,5.4403646783480335,4804660
2017-01-09,5.521162033081055,5.5634844707937,5.471143906197984,5.474991493934883,6393485
2017-01-10,5.501924514770508,5.555789719809417,5.482687088312802,5.517314866894005,6925142
2017-01-11,5.501924514770508,5.505772102801382,5.436517573032308,5.478839500281928,7245063
2017-01-12,5.705841064453125,5.70968865146821,5.501923062225834,5.517313410286176,15607795
2017-01-13,5.817419052124023,5.84050406263196,5.678908989076403,5.705841586951759,9777348
2017-01-16,5.852046489715576,5.875130987231764,5.748163682409765,5.817419229744702,6246681
2017-01-17,5.886673450469971,5.936691057838061,5.836656356798449,5.871283615009239,10065811
2017-01-18,5.8289618492126465,5.886674124066683,5.802029248802112,5.878978948607495,6160525
2017-01-19,5.917454719543457,5.9405397338134875,5.813572412176649,5.828962250457782,8319815
2017-01-20,5.9136061668396,5.952081526810791,5.844351649023926,5.9174537542063765,8705011
2017-01-23,6.002098560333252,6.002098560333252,5.89821627097163,5.925148868568072,6757373
2017-01-24,6.075201511383057,6.075201511383057,5.979014391405612,5.990556126627665,9287614
2017-01-25,6.0290327072143555,6.079050327932729,5.9828626748122735,6.0290327072143555,7618156
2017-01-26,6.079049110412598,6.079049110412598,6.002098900588584,6.03287908725751,7178430
2017-01-27,6.236796855926514,6.26372894244142,6.032879331034401,6.055964343544765,7717892
2017-01-30,6.282966613769531,6.3637644175743056,6.198321735809271,6.198321735809271,6540807
2017-01-31,6.306051731109619,6.332984332821727,6.259881703516476,6.286814305228584,4049752
2017-02-01,6.386847972869873,6.386847972869873,6.2560330979424545,6.306050187511273,5569389
2017-02-02,6.429171085357666,6.536900963586754,6.3791539904739825,6.394543312611106,9449951
2017-02-03,6.475341320037842,6.5022739189071865,6.379154200785319,6.413780947280311,6497267
2017-02-06,6.502274513244629,6.533054188740199,6.456104486304629,6.51381727682795,6523069
2017-02-07,6.513817310333252,6.548444060171397,6.421476742281634,6.475341945220916,7668430
2017-02-08,6.629241466522217,6.633089054172084,6.483036731703589,6.517664506855774,6605158
2017-02-09,6.733124256134033,6.733124256134033,6.61000402022637,6.633089032353019,5447519
2017-02-10,6.675411224365234,6.752361433199952,6.6677160493727845,6.748513845703727,6596989
2017-02-13,6.686953544616699,6.717733731218834,6.6100038486562624,6.7023438947660665,5681599
2017-02-14,6.502274513244629,6.771599499162414,6.483037087635736,6.756209661414629,10941567
2017-02-15,6.563833236694336,6.583070658958463,6.506120969901952,6.509968557094089,9169209
2017-02-16,6.371458530426025,6.586918277236965,6.30220350173039,6.583070690026671,12173371
2017-02-17,6.371458530426025,6.4137804486495975,6.263728143323998,6.363763356005435,10098830
2017-02-20,6.448408603668213,6.471493614607493,6.336831136411129,6.402238581789655,3603803
